Elapsed time;Bytes Received per Second;Bytes Sent per Second
01:47:02,0;518.0;180.0
01:47:04,0;518.0;180.0
01:47:06,0;518.0;180.0
01:47:08,0;518.0;180.0
01:47:10,0;518.0;180.0
01:47:12,0;518.0;180.0
01:47:14,0;518.0;180.0
01:47:16,0;518.0;180.0
01:47:18,0;518.0;180.0
01:47:20,0;518.0;180.0
01:47:22,0;518.0;180.0
01:47:24,0;518.0;180.0
01:47:26,0;518.0;180.0
01:47:28,0;518.0;180.0
01:47:30,0;518.0;180.0
01:47:32,0;518.0;180.0
01:47:34,0;518.0;180.0
01:47:36,0;518.0;180.0
01:47:38,0;518.0;180.0
01:47:40,0;518.0;180.0
01:47:42,0;518.0;180.0
01:47:44,0;518.0;180.0
01:47:46,0;777.0;270.0
01:47:48,0;777.0;270.0
01:47:50,0;777.0;270.0
01:47:52,0;777.0;270.0
01:47:54,0;777.0;270.0
01:47:56,0;777.0;270.0
01:47:58,0;777.0;270.0
01:48:00,0;777.0;270.0
01:48:02,0;777.0;270.0
01:48:04,0;777.0;270.0
01:48:06,0;777.0;270.0
01:48:08,0;777.0;270.0
01:48:10,0;777.0;270.0
01:48:12,0;777.0;270.0
01:48:14,0;777.0;270.0
01:48:16,0;777.0;270.0
01:48:18,0;777.0;270.0
01:48:20,0;777.0;270.0
01:48:22,0;777.0;270.0
01:48:24,0;777.0;270.0
01:48:26,0;777.0;270.0
01:48:28,0;777.0;270.0
01:48:30,0;777.0;270.0
01:48:32,0;777.0;270.0
01:48:34,0;777.0;270.0
01:48:36,0;777.0;270.0
01:48:38,0;777.0;270.0
01:48:40,0;777.0;270.0
01:48:42,0;777.0;270.0
01:48:44,0;777.0;270.0
01:48:46,0;777.0;270.0
01:48:48,0;777.0;270.0
01:48:50,0;777.0;270.0
01:48:52,0;777.0;270.0
01:48:54,0;777.0;270.0
01:48:56,0;777.0;270.0
01:48:58,0;777.0;270.0
01:49:00,0;777.0;270.0
01:49:02,0;777.0;270.0
01:49:04,0;777.0;270.0
01:49:06,0;777.0;270.0
01:49:08,0;777.0;270.0
01:49:10,0;777.0;270.0
01:49:12,0;777.0;270.0
01:49:14,0;777.0;270.0
01:49:16,0;777.0;270.0
01:49:18,0;777.0;270.0
01:49:20,0;777.0;270.0
01:49:22,0;777.0;270.0
01:49:24,0;777.0;270.0
01:49:26,0;777.0;270.0
01:49:28,0;777.0;270.0
01:49:30,0;777.0;270.0
01:49:32,0;777.0;270.0
01:49:34,0;777.0;270.0
01:49:36,0;777.0;270.0
01:49:38,0;777.0;270.0
01:49:40,0;777.0;270.0
01:49:42,0;777.0;270.0
01:49:44,0;777.0;270.0
01:49:46,0;777.0;270.0
01:49:48,0;777.0;270.0
01:49:50,0;777.0;270.0
01:49:52,0;777.0;270.0
01:49:54,0;777.0;270.0
01:49:56,0;777.0;270.0
01:49:58,0;777.0;270.0
01:50:00,0;777.0;270.0
01:50:02,0;777.0;270.0
01:50:04,0;777.0;270.0
01:50:06,0;777.0;270.0
01:50:08,0;777.0;270.0
01:50:10,0;777.0;270.0
01:50:12,0;777.0;270.0
01:50:14,0;777.0;270.0
01:50:16,0;777.0;270.0
01:50:18,0;777.0;270.0
01:50:20,0;777.0;270.0
01:50:22,0;777.0;270.0
01:50:24,0;777.0;270.0
01:50:26,0;777.0;270.0
01:50:28,0;777.0;270.0
01:50:30,0;777.0;270.0
01:50:32,0;777.0;270.0
01:50:34,0;777.0;270.0
01:50:36,0;777.0;270.0
01:50:38,0;777.0;270.0
01:50:40,0;777.0;270.0
01:50:42,0;777.0;270.0
01:50:44,0;777.0;270.0
01:50:46,0;777.0;270.0
01:50:48,0;777.0;270.0
01:50:50,0;777.0;270.0
01:50:52,0;777.0;270.0
01:50:54,0;777.0;270.0
01:50:56,0;777.0;270.0
01:50:58,0;777.0;270.0
01:51:00,0;777.0;270.0
01:51:02,0;777.0;270.0
01:51:04,0;777.0;270.0
01:51:06,0;777.0;270.0
01:51:08,0;777.0;270.0
01:51:10,0;777.0;270.0
01:51:12,0;777.0;270.0
01:51:14,0;777.0;270.0
01:51:16,0;777.0;270.0
01:51:18,0;777.0;270.0
01:51:20,0;777.0;270.0
01:51:22,0;777.0;270.0
01:51:24,0;777.0;270.0
01:51:26,0;777.0;270.0
01:51:28,0;777.0;270.0
01:51:30,0;777.0;270.0
01:51:32,0;777.0;270.0
01:51:34,0;777.0;270.0
01:51:36,0;777.0;270.0
01:51:38,0;777.0;270.0
01:51:40,0;777.0;270.0
01:51:42,0;777.0;270.0
01:51:44,0;777.0;270.0
01:51:46,0;777.0;270.0
01:51:48,0;777.0;270.0
01:51:50,0;777.0;270.0
01:51:52,0;777.0;270.0
01:51:54,0;777.0;270.0
01:51:56,0;777.0;270.0
01:51:58,0;777.0;270.0
01:52:00,0;777.0;270.0
01:52:02,0;777.0;270.0
01:52:04,0;777.0;270.0
01:52:06,0;777.0;270.0
01:52:08,0;777.0;270.0
01:52:10,0;777.0;270.0
01:52:12,0;777.0;270.0
01:52:14,0;777.0;270.0
01:52:16,0;777.0;270.0
01:52:18,0;777.0;270.0
01:52:20,0;777.0;270.0
01:52:22,0;777.0;270.0
01:52:24,0;777.0;270.0
01:52:26,0;777.0;270.0
01:52:28,0;777.0;270.0
01:52:30,0;777.0;270.0
01:52:32,0;777.0;270.0
01:52:34,0;777.0;270.0
01:52:36,0;777.0;270.0
01:52:38,0;777.0;270.0
01:52:40,0;777.0;270.0
01:52:42,0;777.0;270.0
01:52:44,0;777.0;270.0
01:52:46,0;1036.0;360.0
01:52:48,0;1036.0;360.0
01:52:50,0;1036.0;360.0
01:52:52,0;1036.0;360.0
01:52:54,0;1036.0;360.0
01:52:56,0;1036.0;360.0
01:52:58,0;1036.0;360.0
01:53:00,0;1036.0;360.0
01:53:02,0;1036.0;360.0
01:53:04,0;1036.0;360.0
01:53:06,0;1036.0;360.0
01:53:08,0;1036.0;360.0
01:53:10,0;1036.0;360.0
01:53:12,0;1036.0;360.0
01:53:14,0;1036.0;360.0
01:53:16,0;1036.0;360.0
01:53:18,0;1036.0;360.0
01:53:20,0;1036.0;360.0
01:53:22,0;1036.0;360.0
01:53:24,0;1036.0;360.0
01:53:26,0;1036.0;360.0
01:53:28,0;1036.0;360.0
01:53:30,0;1036.0;360.0
01:53:32,0;1036.0;360.0
01:53:34,0;1036.0;360.0
01:53:36,0;1036.0;360.0
01:53:38,0;1036.0;360.0
01:53:40,0;1036.0;360.0
01:53:42,0;1036.0;360.0
01:53:44,0;1036.0;360.0
01:53:46,0;1036.0;360.0
01:53:48,0;1036.0;360.0
01:53:50,0;1036.0;360.0
01:53:52,0;1036.0;360.0
01:53:54,0;1036.0;360.0
01:53:56,0;1036.0;360.0
01:53:58,0;1036.0;360.0
01:54:00,0;1036.0;360.0
01:54:02,0;1036.0;360.0
01:54:04,0;1036.0;360.0
01:54:06,0;1036.0;360.0
01:54:08,0;1036.0;360.0
01:54:10,0;1036.0;360.0
01:54:12,0;1036.0;360.0
01:54:14,0;1036.0;360.0
01:54:16,0;1036.0;360.0
01:54:18,0;1036.0;360.0
01:54:20,0;1036.0;360.0
01:54:22,0;1036.0;360.0
01:54:24,0;1036.0;360.0
01:54:26,0;1036.0;360.0
01:54:28,0;1036.0;360.0
01:54:30,0;1036.0;360.0
01:54:32,0;1036.0;360.0
01:54:34,0;1036.0;360.0
01:54:36,0;1036.0;360.0
01:54:38,0;1036.0;360.0
01:54:40,0;1036.0;360.0
01:54:42,0;1036.0;360.0
01:54:44,0;1036.0;360.0
01:54:46,0;1036.0;360.0
01:54:48,0;1036.0;360.0
01:54:50,0;1036.0;360.0
01:54:52,0;1036.0;360.0
01:54:54,0;1036.0;360.0
01:54:56,0;1036.0;360.0
01:54:58,0;1036.0;360.0
01:55:00,0;1036.0;360.0
01:55:02,0;1036.0;360.0
01:55:04,0;1036.0;360.0
01:55:06,0;1036.0;360.0
01:55:08,0;1036.0;360.0
01:55:10,0;1036.0;360.0
01:55:12,0;1036.0;360.0
01:55:14,0;1036.0;360.0
01:55:16,0;1036.0;360.0
01:55:18,0;1036.0;360.0
01:55:20,0;1036.0;360.0
01:55:22,0;1036.0;360.0
01:55:24,0;1036.0;360.0
01:55:26,0;1036.0;360.0
01:55:28,0;1036.0;360.0
01:55:30,0;1036.0;360.0
01:55:32,0;1036.0;360.0
01:55:34,0;1036.0;360.0
01:55:36,0;1036.0;360.0
01:55:38,0;1036.0;360.0
01:55:40,0;1036.0;360.0
01:55:42,0;1036.0;360.0
01:55:44,0;1036.0;360.0
01:55:46,0;1036.0;360.0
01:55:48,0;1036.0;360.0
01:55:50,0;1036.0;360.0
01:55:52,0;1036.0;360.0
01:55:54,0;1036.0;360.0
01:55:56,0;1036.0;360.0
01:55:58,0;1036.0;360.0
01:56:00,0;1036.0;360.0
01:56:02,0;1036.0;360.0
01:56:04,0;1036.0;360.0
01:56:06,0;1036.0;360.0
01:56:08,0;1036.0;360.0
01:56:10,0;1036.0;360.0
01:56:12,0;1036.0;360.0
01:56:14,0;1036.0;360.0
01:56:16,0;1036.0;360.0
01:56:18,0;1036.0;360.0
01:56:20,0;1036.0;360.0
01:56:22,0;1036.0;360.0
01:56:24,0;1036.0;360.0
01:56:26,0;1036.0;360.0
01:56:28,0;1036.0;360.0
01:56:30,0;1036.0;360.0
01:56:32,0;1036.0;360.0
01:56:34,0;1036.0;360.0
01:56:36,0;1036.0;360.0
01:56:38,0;1036.0;360.0
01:56:40,0;1036.0;360.0
01:56:42,0;1036.0;360.0
01:56:44,0;1036.0;360.0
01:56:46,0;1036.0;360.0
01:56:48,0;1036.0;360.0
01:56:50,0;1036.0;360.0
01:56:52,0;1036.0;360.0
01:56:54,0;1036.0;360.0
01:56:56,0;1036.0;360.0
01:56:58,0;1036.0;360.0
01:57:00,0;1036.0;360.0
01:57:02,0;1036.0;360.0
01:57:04,0;1036.0;360.0
01:57:06,0;1036.0;360.0
01:57:08,0;1036.0;360.0
01:57:10,0;1036.0;360.0
01:57:12,0;1036.0;360.0
